mod,biome,precipitation_type,temperature,modifier,downfall,dayNightOffset,humidity,biomeCategory
biomesoplenty,floodplain,RAIN,0.886,NONE,2.0,0.33433735,95.0,RAINFOREST
biomesoplenty,erupting_inferno,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
biomesoplenty,auroral_garden,SNOW,0.21699998,NONE,0.5,0.13373494,20.0,FOREST
minecraft,windswept_gravelly_hills,RAIN,0.618,NONE,0.3,0.22289157,50.0,EXTREME_HILLS
biomesoplenty,scrubland,NONE,1.108,NONE,0.15,0.33433735,30.0,SAVANNA
biomesoplenty,pasture,RAIN,0.774,NONE,0.3,0.33433735,60.0,PLAINS
twilightforest,dense_forest,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
biomesoplenty,rocky_shrubland,RAIN,0.774,NONE,0.05,0.33433735,60.0,PLAINS
minecraft,deep_frozen_ocean,RAIN,0.551,NONE,0.5,0.22289157,70.0,OCEAN
biomesoplenty,dead_forest,RAIN,0.618,NONE,0.3,0.22289157,50.0,EXTREME_HILLS
biomesoplenty,rainforest,RAIN,0.886,NONE,2.0,0.33433735,95.0,RAINFOREST
twilightforest,mushroom_forest,RAIN,0.685,NONE,0.8,0.26746988,70.0,MUSHROOM
minecraft,eroded_badlands,NONE,1.309,NONE,0.0,0.33433735,20.0,MESA
ars_nouveau,archwood_forest,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
minecraft,end_barrens,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
biomesoplenty,bayou,RAIN,0.685,NONE,0.9,0.26746988,90.0,SWAMP
minecraft,deep_dark,RAIN,0.663,NONE,0.4,0.26746988,40.0,UNDERGROUND
minecraft,deep_cold_ocean,RAIN,0.44,NONE,0.5,0.111445785,20.0,DEEP_COLD_OCEAN
biomesoplenty,marsh,RAIN,0.685,NONE,0.7,0.26746988,90.0,SWAMP
biomesoplenty,crag,RAIN,0.618,NONE,0.6,0.22289157,50.0,MOUNTAIN
minecraft,swamp,RAIN,0.685,NONE,0.9,0.26746988,90.0,SWAMP
minecraft,sunflower_plains,RAIN,0.774,NONE,0.4,0.33433735,60.0,PLAINS
twilightforest,oak_savannah,RAIN,0.663,NONE,0.0,0.26746988,20.0,FOREST
minecraft,stony_shore,RAIN,0.663,NONE,0.3,0.22289157,70.0,BEACH
minecraft,snowy_plains,SNOW,0.06100002,NONE,0.5,0.055722892,20.0,ICY
