mod,biome,precipitation_type,temperature,modifier,downfall,dayNightOffset,humidity,biomeCategory
minecraft,the_void,NONE,0.15,NONE,0.5,0.0,20.0,NONE
minecraft,plains,RAIN,0.774,NONE,0.4,0.33433735,60.0,PLAINS
minecraft,sunflower_plains,RAIN,0.774,NONE,0.4,0.33433735,60.0,PLAINS
minecraft,snowy_plains,SNOW,0.06100002,NONE,0.5,0.055722892,20.0,ICY
minecraft,ice_spikes,SNOW,0.06100002,NONE,0.5,0.055722892,20.0,ICY
minecraft,desert,NONE,1.354,NONE,0.0,0.44578314,20.0,DESERT
minecraft,swamp,RAIN,0.663,NONE,0.9,0.26746988,90.0,SWAMP
minecraft,forest,RAIN,0.663,NONE,0.8,0.26746988,50.0,FOREST
minecraft,flower_forest,RAIN,0.663,NONE,0.8,0.26746988,50.0,FOREST
minecraft,birch_forest,RAIN,0.663,NONE,0.6,0.26746988,50.0,FOREST
minecraft,dark_forest,RAIN,0.663,NONE,0.8,0.26746988,50.0,FOREST
minecraft,old_growth_birch_forest,RAIN,0.663,NONE,0.6,0.26746988,50.0,FOREST
minecraft,old_growth_pine_taiga,RAIN,0.507,NONE,0.8,0.22289157,50.0,TAIGA
minecraft,old_growth_spruce_taiga,RAIN,0.507,NONE,0.8,0.22289157,50.0,TAIGA
minecraft,taiga,RAIN,0.507,NONE,0.8,0.22289157,50.0,TAIGA
minecraft,snowy_taiga,SNOW,0.06100002,NONE,0.4,0.111445785,20.0,TAIGA
minecraft,savanna,NONE,1.108,NONE,0.0,0.33433735,30.0,SAVANNA
minecraft,savanna_plateau,NONE,1.108,NONE,0.0,0.33433735,30.0,SAVANNA
minecraft,windswept_hills,RAIN,0.618,NONE,0.3,0.22289157,50.0,EXTREME_HILLS
minecraft,windswept_gravelly_hills,RAIN,0.618,NONE,0.3,0.22289157,50.0,EXTREME_HILLS
minecraft,windswept_forest,RAIN,0.618,NONE,0.3,0.22289157,50.0,EXTREME_HILLS
minecraft,windswept_savanna,NONE,1.108,NONE,0.0,0.33433735,30.0,SAVANNA
minecraft,jungle,RAIN,0.997,NONE,0.9,0.33433735,90.0,JUNGLE
minecraft,sparse_jungle,RAIN,0.997,NONE,0.8,0.33433735,90.0,JUNGLE
minecraft,bamboo_jungle,RAIN,0.997,NONE,0.9,0.33433735,90.0,JUNGLE
minecraft,badlands,NONE,1.309,NONE,0.0,0.33433735,20.0,MESA
minecraft,eroded_badlands,NONE,1.309,NONE,0.0,0.33433735,20.0,MESA
minecraft,wooded_badlands,NONE,1.309,NONE,0.0,0.33433735,20.0,MESA
minecraft,meadow,RAIN,0.618,NONE,0.8,0.22289157,50.0,MOUNTAIN
minecraft,grove,SNOW,0.21699998,NONE,0.8,0.13373494,20.0,FOREST
minecraft,snowy_slopes,SNOW,0.17199996,NONE,0.9,0.111445785,20.0,MOUNTAIN
minecraft,frozen_peaks,SNOW,0.17199996,NONE,0.9,0.111445785,20.0,MOUNTAIN
minecraft,jagged_peaks,SNOW,0.17199996,NONE,0.9,0.111445785,20.0,MOUNTAIN
minecraft,stony_peaks,RAIN,0.618,NONE,0.3,0.22289157,20.0,MOUNTAIN
minecraft,river,RAIN,0.551,NONE,0.5,0.22289157,70.0,RIVER
minecraft,frozen_river,SNOW,0.10499999,NONE,0.5,0.111445785,20.0,RIVER
minecraft,beach,RAIN,0.663,NONE,0.4,0.22289157,70.0,BEACH
minecraft,snowy_beach,SNOW,0.21699998,NONE,0.3,0.111445785,20.0,BEACH
minecraft,stony_shore,RAIN,0.663,NONE,0.3,0.22289157,20.0,BEACH
minecraft,warm_ocean,RAIN,0.551,NONE,0.5,0.22289157,70.0,OCEAN
minecraft,lukewarm_ocean,RAIN,0.551,NONE,0.5,0.22289157,70.0,OCEAN
minecraft,deep_lukewarm_ocean,RAIN,0.551,NONE,0.5,0.22289157,70.0,OCEAN
minecraft,ocean,RAIN,0.551,NONE,0.5,0.22289157,70.0,OCEAN
minecraft,deep_ocean,RAIN,0.551,NONE,0.5,0.22289157,70.0,OCEAN
minecraft,cold_ocean,RAIN,0.551,NONE,0.5,0.22289157,70.0,OCEAN
minecraft,deep_cold_ocean,RAIN,0.551,NONE,0.5,0.22289157,70.0,OCEAN
minecraft,frozen_ocean,SNOW,-0.0064457953,FROZEN,0.5,0.111445785,20.0,OCEAN
minecraft,deep_frozen_ocean,RAIN,0.4395542,FROZEN,0.5,0.22289157,20.0,OCEAN
minecraft,mushroom_fields,RAIN,0.685,NONE,1.0,0.26746988,70.0,MUSHROOM
minecraft,dripstone_caves,RAIN,0.663,NONE,0.4,0.26746988,40.0,UNDERGROUND
minecraft,lush_caves,RAIN,0.663,NONE,0.5,0.26746988,40.0,UNDERGROUND
minecraft,nether_wastes,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
minecraft,warped_forest,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
minecraft,crimson_forest,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
minecraft,soul_sand_valley,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
minecraft,basalt_deltas,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
minecraft,the_end,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
minecraft,end_highlands,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
minecraft,end_midlands,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
minecraft,small_end_islands,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
minecraft,end_barrens,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
terrablender,deferred_placeholder,NONE,0.15,NONE,0.5,0.0,20.0,NONE
biomesoplenty,bamboo_grove,RAIN,0.663,NONE,0.9,0.26746988,20.0,FOREST
biomesoplenty,bayou,RAIN,0.663,NONE,0.9,0.26746988,90.0,SWAMP
biomesoplenty,bog,RAIN,0.507,NONE,0.5,0.22289157,20.0,TAIGA
biomesoplenty,boreal_forest,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
biomesoplenty,cherry_blossom_grove,RAIN,0.663,NONE,0.9,0.26746988,20.0,FOREST
biomesoplenty,clover_patch,RAIN,0.774,NONE,0.7,0.33433735,60.0,PLAINS
biomesoplenty,cold_desert,NONE,0.507,NONE,0.0,0.111445785,20.0,ICY
biomesoplenty,coniferous_forest,RAIN,0.507,NONE,0.5,0.22289157,20.0,TAIGA
biomesoplenty,crag,RAIN,0.618,NONE,0.6,0.22289157,50.0,EXTREME_HILLS
biomesoplenty,dead_forest,RAIN,0.507,NONE,0.3,0.22289157,20.0,TAIGA
biomesoplenty,dryland,NONE,1.108,NONE,0.05,0.33433735,30.0,SAVANNA
biomesoplenty,dune_beach,RAIN,0.663,NONE,0.4,0.22289157,20.0,BEACH
biomesoplenty,field,RAIN,0.507,NONE,0.7,0.22289157,20.0,TAIGA
biomesoplenty,fir_clearing,RAIN,0.507,NONE,0.5,0.22289157,20.0,TAIGA
biomesoplenty,floodplain,RAIN,0.997,NONE,2.0,0.33433735,90.0,JUNGLE
biomesoplenty,forested_field,RAIN,0.507,NONE,0.7,0.22289157,20.0,TAIGA
biomesoplenty,fungal_jungle,RAIN,0.997,NONE,0.9,0.33433735,90.0,JUNGLE
biomesoplenty,grassland,RAIN,0.774,NONE,0.7,0.33433735,60.0,PLAINS
biomesoplenty,highland,RAIN,0.618,NONE,0.6,0.22289157,50.0,EXTREME_HILLS
biomesoplenty,highland_moor,RAIN,0.618,NONE,0.6,0.22289157,50.0,EXTREME_HILLS
biomesoplenty,jade_cliffs,RAIN,0.618,NONE,0.85,0.22289157,50.0,EXTREME_HILLS
biomesoplenty,lavender_field,RAIN,0.774,NONE,0.7,0.33433735,60.0,PLAINS
biomesoplenty,lavender_forest,RAIN,0.774,NONE,0.7,0.33433735,60.0,PLAINS
biomesoplenty,lush_desert,RAIN,1.354,NONE,0.5,0.44578314,20.0,DESERT
biomesoplenty,lush_savanna,RAIN,1.354,NONE,0.5,0.44578314,20.0,DESERT
biomesoplenty,maple_woods,RAIN,0.507,NONE,0.5,0.22289157,20.0,TAIGA
biomesoplenty,marsh,RAIN,0.663,NONE,0.7,0.26746988,90.0,SWAMP
biomesoplenty,mediterranean_forest,RAIN,0.663,NONE,0.275,0.26746988,20.0,FOREST
biomesoplenty,muskeg,SNOW,0.06100002,NONE,0.6,0.055722892,20.0,ICY
biomesoplenty,mystic_grove,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
biomesoplenty,old_growth_dead_forest,RAIN,0.507,NONE,0.3,0.22289157,20.0,TAIGA
biomesoplenty,old_growth_woodland,RAIN,0.663,NONE,0.5,0.26746988,20.0,FOREST
biomesoplenty,ominous_woods,RAIN,0.507,NONE,0.6,0.22289157,20.0,TAIGA
biomesoplenty,orchard,RAIN,0.663,NONE,0.4,0.26746988,20.0,FOREST
biomesoplenty,origin_valley,RAIN,0.15,NONE,0.6,0.0,20.0,NONE
biomesoplenty,pasture,RAIN,0.774,NONE,0.3,0.33433735,60.0,PLAINS
biomesoplenty,prairie,RAIN,0.774,NONE,0.3,0.33433735,60.0,PLAINS
biomesoplenty,pumpkin_patch,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
biomesoplenty,rainbow_hills,SNOW,0.21699998,NONE,0.5,0.13373494,20.0,FOREST
biomesoplenty,rainforest,RAIN,0.997,NONE,2.0,0.33433735,90.0,JUNGLE
biomesoplenty,redwood_forest,RAIN,0.663,NONE,0.6,0.26746988,20.0,FOREST
biomesoplenty,rocky_rainforest,RAIN,0.997,NONE,2.0,0.33433735,90.0,JUNGLE
biomesoplenty,rocky_shrubland,RAIN,0.774,NONE,0.05,0.33433735,60.0,PLAINS
